age,job,married,education,housing,loan,contact,campaign,previous,cons_price_idx,nr_employed,insurance
28.0,service,1,basic.6y,no,no,telephone,11.0,0.0,93.994,5191.0,no
52.0,service,1,basic.4y,no,no,telephone,9.0,0.0,93.994,5191.0,no
46.0,service,1,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,yes
27.0,service,1,high.school,no,yes,telephone,4.0,0.0,93.994,5191.0,no
44.0,service,1,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
31.0,no-job,1,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
56.0,no-job,0,basic.4y,yes,yes,telephone,6.0,0.0,93.994,5191.0,no
51.0,officework,1,basic.9y,yes,no,telephone,5.0,0.0,93.994,5191.0,no
36.0,service,1,basic.6y,no,no,telephone,5.0,0.0,93.994,5191.0,no
39.0,service,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
37.0,service,1,basic.6y,no,yes,telephone,2.0,0.0,93.994,5191.0,no
48.0,no-job,0,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
55.0,officework,1,high.school,no,no,telephone,6.0,0.0,93.994,5191.0,no
34.0,service,0,basic.9y,yes,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,officework,1,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
32.0,service,1,basic.9y,no,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,officework,1,high.school,yes,no,telephone,3.0,0.0,93.994,5191.0,no
39.0,officework,1,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
32.0,officework,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
36.0,service,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
51.0,service,1,basic.9y,no,no,telephone,4.0,0.0,93.994,5191.0,no
39.0,officework,0,professional.course,no,no,telephone,5.0,0.0,93.994,5191.0,yes
49.0,service,0,high.school,no,yes,telephone,2.0,0.0,93.994,5191.0,no
32.0,management,0,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,officework,1,professional.course,no,yes,telephone,2.0,0.0,93.994,5191.0,no
31.0,officework,0,high.school,no,yes,telephone,4.0,0.0,93.994,5191.0,no
25.0,service,1,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
39.0,service,1,high.school,yes,no,telephone,6.0,0.0,93.994,5191.0,yes
49.0,officework,1,professional.course,no,no,telephone,6.0,0.0,93.994,5191.0,no
53.0,service,0,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
26.0,officework,0,high.school,yes,yes,telephone,3.0,0.0,93.994,5191.0,no
41.0,officework,1,professional.course,no,yes,telephone,2.0,0.0,93.994,5191.0,no
39.0,service,0,basic.9y,no,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,officework,0,university.degree,no,no,telephone,4.0,0.0,93.994,5191.0,no
45.0,service,1,basic.9y,yes,no,telephone,5.0,0.0,93.994,5191.0,no
56.0,officework,1,university.degree,no,no,telephone,4.0,0.0,93.994,5191.0,no
39.0,service,1,basic.4y,no,yes,telephone,4.0,0.0,93.994,5191.0,no
30.0,service,0,university.degree,no,no,telephone,4.0,0.0,93.994,5191.0,no
50.0,officework,1,high.school,yes,no,telephone,4.0,0.0,93.994,5191.0,no
44.0,management,1,university.degree,no,yes,telephone,8.0,0.0,93.994,5191.0,no
55.0,service,1,basic.4y,yes,no,telephone,5.0,0.0,93.994,5191.0,no
31.0,service,0,basic.6y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
40.0,service,1,basic.4y,no,no,telephone,11.0,0.0,93.994,5191.0,no
27.0,officework,1,university.degree,no,yes,telephone,4.0,0.0,93.994,5191.0,no
56.0,service,1,high.school,no,yes,telephone,3.0,0.0,93.994,5191.0,no
35.0,officework,1,high.school,yes,yes,telephone,3.0,0.0,93.994,5191.0,no
31.0,officework,0,high.school,no,no,telephone,4.0,0.0,93.994,5191.0,no
47.0,management,1,university.degree,yes,yes,telephone,3.0,0.0,93.994,5191.0,no
30.0,officework,0,university.degree,no,yes,telephone,3.0,0.0,93.994,5191.0,no
37.0,service,1,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
36.0,service,0,basic.6y,yes,no,telephone,5.0,0.0,93.994,5191.0,no
33.0,service,0,basic.9y,no,yes,telephone,9.0,0.0,93.994,5191.0,no
38.0,officework,1,professional.course,yes,yes,telephone,4.0,0.0,93.994,5191.0,no
29.0,management,1,basic.9y,yes,no,telephone,7.0,0.0,93.994,5191.0,no
46.0,officework,0,university.degree,no,yes,telephone,4.0,0.0,93.994,5191.0,no
50.0,service,1,basic.9y,yes,no,telephone,17.0,0.0,93.994,5191.0,no
57.0,officework,1,professional.course,no,no,telephone,7.0,0.0,93.994,5191.0,no
34.0,service,1,basic.9y,no,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,management,1,basic.9y,no,no,telephone,4.0,0.0,93.994,5191.0,no
49.0,management,1,university.degree,yes,no,telephone,9.0,0.0,93.994,5191.0,no
43.0,officework,0,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
32.0,management,1,university.degree,no,no,telephone,3.0,0.0,93.994,5191.0,no
38.0,officework,0,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
38.0,service,0,basic.6y,yes,no,telephone,6.0,0.0,93.994,5191.0,no
37.0,officework,0,high.school,yes,no,telephone,5.0,0.0,93.994,5191.0,no
28.0,officework,1,university.degree,no,no,telephone,3.0,0.0,93.994,5191.0,no
42.0,service,1,professional.course,yes,no,telephone,2.0,0.0,93.994,5191.0,no
49.0,officework,1,basic.9y,yes,no,telephone,6.0,0.0,93.994,5191.0,no
59.0,officework,1,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
30.0,management,1,professional.course,no,no,telephone,5.0,0.0,93.994,5191.0,no
35.0,officework,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
40.0,officework,1,professional.course,yes,no,telephone,2.0,0.0,93.994,5191.0,no
42.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
51.0,service,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
49.0,officework,0,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
48.0,officework,0,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
29.0,service,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,management,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
28.0,management,1,professional.course,no,no,telephone,5.0,0.0,93.994,5191.0,no
42.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,service,0,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
43.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
57.0,no-job,0,professional.course,yes,no,telephone,1.0,0.0,93.994,5191.0,no
47.0,service,1,basic.4y,yes,no,telephone,5.0,0.0,93.994,5191.0,no
47.0,officework,0,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
42.0,officework,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
52.0,service,1,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
33.0,officework,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
35.0,officework,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
26.0,service,1,basic.9y,yes,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,service,1,high.school,yes,no,telephone,6.0,0.0,93.994,5191.0,no
39.0,management,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
46.0,management,1,basic.9y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
46.0,management,1,basic.9y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
48.0,management,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
52.0,service,0,high.school,no,no,telephone,3.0,0.0,93.994,5191.0,no
47.0,management,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,officework,0,university.degree,yes,no,telephone,7.0,0.0,93.994,5191.0,no
36.0,service,0,basic.9y,yes,yes,telephone,3.0,0.0,93.994,5191.0,no
48.0,no-job,0,professional.course,yes,no,telephone,2.0,0.0,93.994,5191.0,no
30.0,service,1,high.school,no,no,telephone,4.0,0.0,93.994,5191.0,no
28.0,service,1,basic.6y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
41.0,officework,1,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
45.0,service,1,basic.4y,no,no,telephone,4.0,0.0,93.994,5191.0,no
32.0,service,0,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
42.0,management,1,basic.6y,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,1,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,no-job,1,university.degree,no,yes,telephone,17.0,0.0,93.994,5191.0,no
32.0,service,0,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
55.0,officework,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
33.0,service,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
42.0,no-job,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
42.0,officework,0,university.degree,yes,no,telephone,5.0,0.0,93.994,5191.0,no
32.0,management,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
31.0,officework,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
48.0,officework,1,professional.course,yes,no,telephone,2.0,0.0,93.994,5191.0,no
41.0,service,1,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
50.0,management,0,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
42.0,officework,0,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
47.0,officework,1,professional.course,no,no,telephone,1.0,0.0,93.994,5191.0,no
36.0,management,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
34.0,service,1,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
27.0,no-job,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
56.0,officework,1,professional.course,no,yes,telephone,1.0,0.0,93.994,5191.0,no
33.0,service,0,basic.9y,no,yes,telephone,11.0,0.0,93.994,5191.0,yes
38.0,officework,1,professional.course,yes,no,telephone,1.0,0.0,93.994,5191.0,no
39.0,management,1,basic.6y,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
52.0,officework,1,basic.6y,no,no,telephone,1.0,0.0,93.994,5191.0,no
51.0,officework,0,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
38.0,service,1,basic.6y,no,no,telephone,1.0,0.0,93.994,5191.0,no
39.0,management,0,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,management,1,professional.course,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,officework,0,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
41.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
39.0,officework,1,university.degree,yes,no,telephone,32.0,0.0,93.994,5191.0,no
36.0,officework,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,officework,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
45.0,service,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
47.0,officework,0,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
44.0,officework,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
44.0,management,0,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
42.0,service,1,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,officework,1,professional.course,no,no,telephone,1.0,0.0,93.994,5191.0,no
59.0,no-job,0,professional.course,no,no,telephone,1.0,0.0,93.994,5191.0,no
42.0,service,1,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
32.0,officework,0,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
36.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
42.0,service,1,basic.6y,no,no,telephone,3.0,0.0,93.994,5191.0,no
49.0,officework,1,professional.course,yes,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
45.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
46.0,management,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
39.0,service,1,basic.6y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
35.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
53.0,officework,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,service,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
49.0,officework,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
40.0,service,1,high.school,yes,no,telephone,3.0,0.0,93.994,5191.0,no
34.0,officework,1,university.degree,no,yes,telephone,2.0,0.0,93.994,5191.0,no
38.0,officework,1,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
33.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
30.0,officework,0,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
51.0,service,1,basic.6y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
24.0,officework,1,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
26.0,officework,0,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
56.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
39.0,service,1,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
32.0,service,1,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
38.0,officework,1,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
50.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
45.0,service,0,high.school,no,no,telephone,12.0,0.0,93.994,5191.0,no
56.0,service,1,professional.course,yes,no,telephone,4.0,0.0,93.994,5191.0,yes
45.0,officework,1,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
35.0,service,1,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
46.0,officework,0,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
40.0,officework,1,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
40.0,officework,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
58.0,officework,0,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,yes
50.0,service,1,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,0,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
40.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
43.0,service,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
28.0,service,0,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
37.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
30.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
36.0,management,1,university.degree,yes,yes,telephone,5.0,0.0,93.994,5191.0,no
29.0,officework,1,university.degree,yes,no,telephone,4.0,0.0,93.994,5191.0,no
44.0,service,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
30.0,officework,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
26.0,service,0,basic.6y,no,yes,telephone,8.0,0.0,93.994,5191.0,no
43.0,service,0,basic.4y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
34.0,service,0,basic.9y,no,yes,telephone,2.0,0.0,93.994,5191.0,no
47.0,officework,1,professional.course,no,yes,telephone,1.0,0.0,93.994,5191.0,no
44.0,management,0,university.degree,yes,no,telephone,4.0,0.0,93.994,5191.0,yes
39.0,officework,0,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
29.0,no-job,0,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,yes
32.0,officework,0,professional.course,yes,no,telephone,11.0,0.0,93.994,5191.0,no
41.0,officework,1,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
36.0,service,1,basic.9y,yes,no,telephone,4.0,0.0,93.994,5191.0,no
38.0,officework,1,high.school,yes,no,telephone,9.0,0.0,93.994,5191.0,no
39.0,officework,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
57.0,service,1,basic.4y,no,no,telephone,2.0,0.0,93.994,5191.0,no
36.0,service,0,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
44.0,service,1,high.school,yes,no,telephone,4.0,0.0,93.994,5191.0,no
36.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
24.0,service,1,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
48.0,officework,1,basic.4y,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
35.0,no-job,0,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
41.0,service,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,yes
38.0,service,0,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
40.0,officework,0,university.degree,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
32.0,officework,0,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
53.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
26.0,officework,0,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
56.0,no-job,1,high.school,yes,no,telephone,3.0,0.0,93.994,5191.0,no
30.0,service,1,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
56.0,no-job,1,high.school,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
38.0,officework,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
56.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
35.0,management,1,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
34.0,service,1,high.school,no,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,no-job,0,basic.9y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
47.0,service,1,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
42.0,service,1,basic.4y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
54.0,no-job,1,basic.9y,no,yes,telephone,1.0,0.0,93.994,5191.0,no
43.0,management,1,professional.course,yes,no,telephone,1.0,0.0,93.994,5191.0,no
28.0,officework,0,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
31.0,service,1,basic.6y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
44.0,service,0,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
58.0,management,1,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
31.0,officework,0,university.degree,no,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,1,basic.6y,no,no,telephone,1.0,0.0,93.994,5191.0,no
52.0,management,0,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
36.0,officework,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
31.0,officework,0,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
30.0,service,1,basic.9y,yes,no,telephone,14.0,0.0,93.994,5191.0,no
31.0,officework,1,high.school,yes,yes,telephone,5.0,0.0,93.994,5191.0,no
41.0,service,1,basic.6y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
41.0,management,0,basic.9y,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
26.0,officework,0,high.school,yes,no,telephone,7.0,0.0,93.994,5191.0,no
38.0,officework,0,university.degree,no,no,telephone,6.0,0.0,93.994,5191.0,no
44.0,no-job,1,basic.6y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
28.0,service,0,basic.9y,yes,no,telephone,1.0,0.0,93.994,5191.0,no
29.0,officework,1,university.degree,no,no,telephone,5.0,0.0,93.994,5191.0,no
51.0,service,0,high.school,no,no,telephone,4.0,0.0,93.994,5191.0,no
35.0,officework,1,university.degree,yes,yes,telephone,3.0,0.0,93.994,5191.0,no
50.0,management,1,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
33.0,officework,0,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
57.0,management,0,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
28.0,service,0,basic.9y,no,no,telephone,1.0,0.0,93.994,5191.0,no
58.0,officework,0,university.degree,no,no,telephone,3.0,0.0,93.994,5191.0,yes
50.0,service,0,basic.4y,yes,no,telephone,3.0,0.0,93.994,5191.0,no
57.0,officework,1,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
30.0,officework,0,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
48.0,officework,0,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,management,1,high.school,no,yes,telephone,2.0,0.0,93.994,5191.0,no
39.0,officework,0,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
39.0,officework,1,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,management,1,high.school,yes,yes,telephone,2.0,0.0,93.994,5191.0,yes
43.0,service,0,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
36.0,officework,1,university.degree,yes,no,telephone,2.0,0.0,93.994,5191.0,no
29.0,officework,0,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
33.0,service,0,basic.6y,no,no,telephone,2.0,0.0,93.994,5191.0,no
31.0,service,1,basic.9y,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
43.0,service,1,basic.4y,yes,no,telephone,6.0,0.0,93.994,5191.0,no
46.0,officework,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
45.0,service,1,basic.9y,no,no,telephone,3.0,0.0,93.994,5191.0,no
30.0,officework,1,high.school,no,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,no-job,1,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
30.0,officework,1,high.school,yes,no,telephone,4.0,0.0,93.994,5191.0,no
46.0,officework,0,high.school,no,no,telephone,2.0,0.0,93.994,5191.0,no
43.0,management,0,high.school,yes,no,telephone,3.0,0.0,93.994,5191.0,no
49.0,officework,1,university.degree,no,no,telephone,3.0,0.0,93.994,5191.0,no
38.0,officework,0,high.school,yes,no,telephone,6.0,0.0,93.994,5191.0,no
58.0,officework,1,high.school,yes,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,officework,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,officework,0,professional.course,no,no,telephone,3.0,0.0,93.994,5191.0,no
31.0,management,0,high.school,no,no,telephone,3.0,0.0,93.994,5191.0,no
39.0,management,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
30.0,service,1,basic.6y,yes,no,telephone,3.0,0.0,93.994,5191.0,no
58.0,no-job,1,basic.6y,no,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,officework,1,high.school,no,yes,telephone,3.0,0.0,93.994,5191.0,no
41.0,no-job,1,basic.9y,yes,yes,telephone,4.0,0.0,93.994,5191.0,yes
30.0,service,0,basic.9y,yes,yes,telephone,1.0,0.0,93.994,5191.0,no
57.0,officework,1,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
34.0,service,1,basic.6y,no,yes,telephone,3.0,0.0,93.994,5191.0,no
30.0,officework,0,university.degree,no,no,telephone,4.0,0.0,93.994,5191.0,no
40.0,officework,1,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
37.0,service,1,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
41.0,officework,0,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
40.0,service,1,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
42.0,officework,0,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
44.0,management,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
41.0,officework,1,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
31.0,management,1,university.degree,no,no,telephone,8.0,0.0,93.994,5191.0,no
29.0,officework,0,high.school,no,yes,telephone,1.0,0.0,93.994,5191.0,no
41.0,management,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
33.0,officework,1,professional.course,no,no,telephone,2.0,0.0,93.994,5191.0,no
37.0,service,0,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
27.0,service,0,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
35.0,officework,0,high.school,yes,no,telephone,2.0,0.0,93.994,5191.0,no
31.0,officework,0,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,1,university.degree,yes,no,telephone,3.0,0.0,93.994,5191.0,no
48.0,management,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
37.0,officework,0,high.school,yes,no,telephone,6.0,0.0,93.994,5191.0,no
33.0,officework,0,professional.course,yes,no,telephone,2.0,0.0,93.994,5191.0,no
40.0,officework,1,high.school,no,no,telephone,3.0,0.0,93.994,5191.0,no
29.0,service,1,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
47.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
47.0,service,1,high.school,yes,no,telephone,1.0,0.0,93.994,5191.0,no
35.0,service,1,basic.4y,no,no,telephone,1.0,0.0,93.994,5191.0,no
27.0,service,1,basic.9y,yes,yes,telephone,2.0,0.0,93.994,5191.0,no
35.0,management,1,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
35.0,officework,1,high.school,no,yes,telephone,2.0,0.0,93.994,5191.0,no
38.0,service,1,basic.9y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
46.0,officework,0,professional.course,yes,no,telephone,3.0,0.0,93.994,5191.0,no
35.0,service,1,professional.course,no,no,telephone,12.0,0.0,93.994,5191.0,no
41.0,management,1,university.degree,yes,no,telephone,1.0,0.0,93.994,5191.0,no
47.0,officework,1,basic.4y,no,no,telephone,2.0,0.0,93.994,5191.0,no
28.0,service,0,basic.4y,yes,no,telephone,2.0,0.0,93.994,5191.0,no
35.0,service,1,basic.9y,no,no,telephone,2.0,0.0,93.994,5191.0,no
34.0,officework,0,high.school,no,no,telephone,3.0,0.0,93.994,5191.0,no
25.0,management,0,university.degree,no,no,telephone,2.0,0.0,93.994,5191.0,no
33.0,officework,0,university.degree,no,yes,telephone,1.0,0.0,93.994,5191.0,no
